City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,constantia,44.1833,28.65,30.88,71,3,11.97,RO,1738733002
121,zaozersk,69.4005,32.4476,10.99,73,100,20.47,RU,1738733003
122,arraial do cabo,-22.9661,-42.0278,75.4,90,100,20.42,BR,1738733004
123,howrah,22.5892,88.3103,77.0,73,100,5.75,IN,1738733006
124,st. john's,47.5649,-52.7093,23.97,76,20,27.63,CA,1738732904
125,richfield,44.8833,-93.283,8.98,63,40,4.61,US,1738733008
126,kingston,17.997,-76.7936,77.95,65,20,9.22,JM,1738732980
127,aldinga beach,-35.2793,138.4604,83.64,39,5,17.31,AU,1738733010
128,talnakh,69.4865,88.3972,-13.92,92,73,7.16,RU,1738733012
129,pak phanang,8.3511,100.202,83.1,65,25,11.39,TH,1738732778
130,keflavik,64.0049,-22.5624,32.43,86,75,35.68,IS,1738733014
131,ilulissat,69.2167,-51.1,-5.78,71,100,10.36,GL,1738733015
132,caconda,-13.7333,15.0667,57.96,86,99,1.43,AO,1738733017
133,carutapera,-1.195,-46.02,75.79,94,98,4.41,BR,1738733018
134,port douglas,-16.4833,145.4667,81.09,86,100,3.4,AU,1738733019
135,avarua,-21.2078,-159.775,77.05,94,100,4.61,CK,1738733020
136,whitehorse,60.7161,-135.0538,-5.19,79,0,3.44,CA,1738733021
137,margaret river,-33.95,115.0667,84.18,44,20,16.02,AU,1738732886
138,bingol,38.8847,40.4939,25.32,80,75,3.44,TR,1738732855
139,smithers,54.7804,-127.1743,-7.28,84,0,2.3,CA,1738733025
140,kailua-kona,19.6406,-155.9956,75.16,76,40,10.36,US,1738732885
141,tamandare,-8.7597,-35.1047,77.34,85,98,8.68,BR,1738733027
142,porto murtinho,-21.6989,-57.8825,77.76,74,44,4.14,BR,1738733029
143,chibuto,-24.6867,33.5306,77.56,74,95,5.19,MZ,1738733030
144,port mathurin,-19.6833,63.4167,81.01,79,9,11.34,MU,1738733031
145,aoulef,26.9667,1.0833,52.36,26,0,11.81,DZ,1738733032
146,ji'an,27.1172,114.9793,55.96,34,97,5.3,CN,1738733033
147,whangarei,-35.7317,174.3239,73.35,52,35,6.29,NZ,1738733035
148,usinsk,65.9939,57.5281,10.11,94,93,14.76,RU,1738733036
149,wamba,8.9333,8.6,71.29,18,32,2.26,NG,1738733037
150,tocopilla,-22.092,-70.1979,70.47,83,68,0.56,CL,1738733038
151,korsakov,46.6328,142.7813,30.04,91,100,22.24,RU,1738733040
152,amursk,50.2261,136.8994,5.79,75,100,26.31,RU,1738733041
153,maintirano,-18.0667,44.0167,77.67,91,100,10.78,MG,1738733043
154,utrik,11.2278,169.8474,79.92,83,18,21.63,MH,1738733045
155,lebu,-37.6167,-73.65,57.15,81,2,5.99,CL,1738733046
156,ardatov,55.2421,43.097,25.0,91,100,13.04,RU,1738733047
157,yuzhno-kurilsk,44.0306,145.8556,31.15,75,15,16.78,RU,1738733048
158,yelizovo,53.1873,158.3805,32.14,47,75,22.37,RU,1738733049
159,thompson,55.7435,-97.8558,-3.84,71,0,19.57,CA,1738733051
160,chifeng,42.2683,118.9636,15.76,29,4,18.01,CN,1738733052
161,betio village,1.358,172.9211,84.24,83,81,19.93,KI,1738733053
162,koungou,-12.7336,45.2042,82.11,78,75,19.57,YT,1738733054
163,mount pearl,47.5166,-52.7813,23.14,80,20,27.63,CA,1738733055
164,ancud,-41.8697,-73.8203,54.84,78,47,3.53,CL,1738733057
165,russellville,35.2784,-93.1338,48.34,87,100,3.44,US,1738732761
166,saint-louis,16.3333,-15.0,61.38,18,82,9.44,SN,1738733059
167,tazovsky,67.4667,78.7,-8.77,100,100,6.35,RU,1738733062
168,badr hunayn,23.7829,38.7905,74.03,58,87,1.05,SA,1738733063
169,jalai nur,49.45,117.7,0.57,89,100,9.01,CN,1738733064
170,hasaki,35.7333,140.8333,44.78,27,51,15.48,JP,1738733065
171,tutong,4.8,114.65,81.73,83,89,7.56,BN,1738733066
172,lihue,21.9789,-159.3672,67.59,68,0,8.05,US,1738733068
173,porto novo,6.4965,2.6036,84.02,85,49,5.5,BJ,1738733069
174,luderitz,-26.6481,15.1594,65.07,65,79,15.77,NA,1738732798
175,lompoc,34.6391,-120.4579,55.81,86,100,18.41,US,1738733071
176,aljezur,37.3191,-8.8033,48.34,70,3,5.93,PT,1738733072
177,nejo,9.5,35.5,65.21,33,19,1.81,ET,1738733074
178,datong,40.0936,113.2914,14.25,30,0,15.23,CN,1738733075
179,klyuchi,52.2667,79.1667,15.26,94,71,10.2,RU,1738733076
180,batouri,4.4333,14.3667,67.01,36,72,3.8,CM,1738733077
181,codrington,-38.2667,141.9667,66.65,57,20,18.84,AU,1738733079
182,midvagur,62.0511,-7.1939,40.03,65,75,17.27,FO,1738733080
183,flekkefjord,58.2971,6.6607,38.08,83,79,11.48,NO,1738732936
184,santa luzia,-19.7697,-43.8514,72.5,94,96,3.65,BR,1738733082
185,cestos city,5.46,-9.5828,76.96,86,16,6.6,LR,1738733083
186,yauya,-8.9833,-77.3,49.26,83,100,2.51,PE,1738732995
187,soe,-9.8607,124.284,78.42,63,80,13.2,ID,1738733086
188,karema,-6.8205,30.4389,71.2,87,98,3.42,TZ,1738733087
189,sisimiut,66.9395,-53.6735,-2.38,96,100,4.54,GL,1738733088
190,ierapetra,35.01,25.7353,52.14,64,2,15.99,GR,1738733089
191,georgetown,5.4112,100.3354,89.53,45,20,5.75,MY,1738732894
192,kalmunai,7.4167,81.8167,82.35,68,54,11.61,LK,1738733092
193,mili,6.0815,171.735,80.65,83,99,23.33,MH,1738733093
194,shalqar,47.8333,59.6,15.06,90,87,12.57,KZ,1738733095
195,ust-tsilma,65.441,52.1498,9.52,97,69,4.79,RU,1738733096
196,qaqortoq,60.7167,-46.0333,-3.48,65,45,12.95,GL,1738733097
197,crane,31.3974,-102.3501,67.77,65,24,21.3,US,1738733098
198,nizhnesortymskiy,62.4397,71.7603,18.91,95,100,5.06,RU,1738733099
199,kapa'a,22.0752,-159.319,68.32,68,0,8.05,US,1738732861
200,forster,-32.1667,152.5167,85.37,70,7,15.93,AU,1738733102
201,vila franca do campo,37.7167,-25.4333,64.89,99,100,9.31,PT,1738733103
202,port hedland,-20.3167,118.5667,95.05,55,18,13.8,AU,1738733104
203,tsiombe,-25.3,45.4833,76.66,80,96,13.11,MG,1738733105
204,majene,-3.5403,118.9707,85.82,64,97,7.7,ID,1738733107
205,touros,-5.1989,-35.4608,76.91,87,100,7.78,BR,1738733108
206,dunedin,-45.8742,170.5036,63.66,71,97,5.1,NZ,1738733109
207,presidente olegario,-18.4178,-46.4181,64.56,90,100,1.77,BR,1738733110
208,shihezi,44.3,86.0333,8.73,85,48,2.37,CN,1738732864
209,sinan,34.8262,126.1086,33.06,63,98,36.19,KR,1738733113
210,iwanai,42.9744,140.5089,28.76,96,100,33.15,JP,1738733114
211,haiku-pauwela,20.9219,-156.3051,70.25,84,40,15.99,US,1738733115
212,warud,21.4667,78.2667,83.93,29,13,4.23,IN,1738733116
213,saudarkrokur,65.7461,-19.6394,28.8,82,86,19.44,IS,1738733118
214,bodo,67.28,14.405,27.45,96,100,32.21,NO,1738733119
215,tomatlan,19.9333,-105.25,66.45,56,0,3.09,MX,1738733120
216,urrao,6.3152,-76.1342,59.14,96,75,0.83,CO,1738733121
217,ocean city,39.2776,-74.5746,34.02,62,3,8.01,US,1738733123
218,gangtok,27.3333,88.6167,65.19,52,12,6.55,IN,1738733124
219,selibaby,15.159,-12.1829,64.94,15,89,12.12,MR,1738733125
220,itupiranga,-5.1347,-49.3267,73.18,94,92,1.81,BR,1738733126
221,khandyga,62.6667,135.6,-22.94,86,32,0.78,RU,1738733127
222,howard springs,-12.497,131.047,85.91,82,100,13.2,AU,1738733129
223,malangawa,26.8568,85.5581,73.94,32,61,6.08,NP,1738733130
224,gushu,31.5598,118.4829,47.91,30,63,15.46,CN,1738733131
225,polyarnyy,69.1989,33.4478,5.0,89,100,23.71,RU,1738733132
226,idri,27.5,13.2667,55.49,34,100,13.0,LY,1738733134
227,urangan,-25.3,152.9,77.81,75,100,13.35,AU,1738733024
228,melipilla,-33.7,-71.2167,56.39,61,28,0.47,CL,1738732910
229,gizo,-8.103,156.8419,85.96,68,100,7.99,SB,1738733137
230,la'ie,21.6477,-157.9253,71.56,81,80,8.01,US,1738733138
231,north battleford,52.7834,-108.2847,-5.71,77,100,4.61,CA,1738733140
232,mary,37.0,62.5,48.07,43,0,6.46,TM,1738732925
233,armidale,-30.5167,151.65,77.67,42,87,11.14,AU,1738733142
234,college,64.8569,-147.8028,10.45,78,100,0.0,US,1738733143
235,daru,-9.0763,143.2092,86.58,70,100,11.16,PG,1738733144
236,umm kaddadah,13.6017,26.6876,64.99,27,0,15.03,SD,1738733116
237,le moule,16.3332,-61.3473,69.84,80,35,14.16,GP,1738733147
238,medina,24.4686,39.6142,63.03,51,0,0.0,SA,1738733148
239,pangody,65.85,74.4859,-2.45,99,94,7.56,RU,1738733151
240,carnarvon,-24.8667,113.6333,83.93,67,8,8.48,AU,1738733152
241,machico,32.7,-16.7667,63.23,72,40,10.36,PT,1738733153
242,bongouanou,6.6486,-4.1992,69.13,60,28,0.69,CI,1738733154
243,thunder bay,48.4001,-89.3168,-0.42,55,20,9.22,CA,1738733155
244,mwene-ditu,-7.0,23.45,64.24,91,100,3.2,CD,1738733157
245,miyako,39.6367,141.9525,31.3,53,35,20.09,JP,1738733159
246,petropavlovsk-kamchatsky,53.0452,158.6483,30.79,47,75,22.37,RU,1738733160
247,saipan,15.1355,145.701,88.5,74,40,17.27,MP,1738733162
248,antsiranana,-12.2787,49.2917,81.36,78,40,6.91,MG,1738733163
249,launceston,-41.45,147.1667,76.64,35,13,5.75,AU,1738733164
250,leo,11.1,-2.1,71.08,21,11,8.23,BF,1738733165
251,susuman,62.7833,148.1667,-35.55,94,46,1.63,RU,1738733166
252,suleja,9.1758,7.1808,74.37,15,42,2.66,NG,1738733168
253,al kharijah,25.4514,30.5464,55.76,55,96,8.97,EG,1738733169
254,kaduna,10.5222,7.4383,64.44,13,31,8.34,NG,1738733113
255,iaciara,-14.0958,-46.6317,67.46,96,100,2.1,BR,1738733171
256,cockburn town,21.4612,-71.1419,76.1,78,18,18.97,TC,1738733041
257,patterson,37.4716,-121.1297,55.99,90,100,5.19,US,1738733174
258,tura,25.5198,90.2201,77.94,35,3,4.79,IN,1738733175
259,hamilton,39.1834,-84.5333,35.94,71,0,5.75,US,1738732935
260,alofi,-19.0595,-169.9187,78.69,94,75,2.3,NU,1738733177
261,angaur state,6.906,134.13,81.93,74,100,11.43,PW,1738733057
262,tughyl,47.7252,84.2063,-1.21,90,60,3.51,KZ,1738733180
263,colonia,50.9333,6.95,34.05,89,75,3.44,DE,1738733181
264,nyagan,62.1406,65.3936,13.08,97,100,0.58,RU,1738733183
265,houghton,47.1219,-88.569,15.28,77,100,10.36,US,1738733003
266,kone,-21.0595,164.8658,83.39,73,88,3.87,NC,1738733185
267,lata,40.1629,-8.3327,39.38,84,13,4.16,PT,1738733186
268,bovalino,38.149,16.174,53.29,83,100,5.44,IT,1738733187
269,uthal,25.8072,66.6219,68.5,12,0,7.11,PK,1738733189
270,valparaiso,-33.0393,-71.6273,60.44,67,0,3.44,CL,1738733190
271,queenstown,-31.8976,26.8753,77.67,39,88,7.09,ZA,1738733117
272,green river,41.5286,-109.4662,39.16,61,90,11.92,US,1738733192
273,saint-francois,46.4154,3.9054,27.84,100,100,3.44,FR,1738733194
274,cabedelo,-6.9811,-34.8339,75.87,84,98,9.13,BR,1738733195
275,youngsville,30.0996,-91.9901,68.05,96,100,6.91,US,1738733196
276,matadi,-5.8167,13.45,75.22,95,100,2.19,CD,1738733197
277,island harbour,50.724,-1.2758,38.19,87,2,7.23,GB,1738733198
278,abepura,-2.6333,140.5833,86.81,66,40,5.75,ID,1738733200
